commit_hash,label,commit_hour,commit_day_of_week,message_length,avg_line_length,snake_case_ratio,camelCase_ratio,comment_ratio,files_changed_count
a76aabc7f07c06bd155aace787ed811961aacaa7,Armin Ronacher,11,1,41,41.0,0.0,0.0,0.0,9
f6da77e894a939b838e02fb744fa3031abfc96ec,Armin Ronacher,11,1,36,36.0,0.0,0.0,0.0,1
7f837901cb9b3ba7d68ea0a983d86dfc508a9c6d,Armin Ronacher,11,1,41,41.0,0.0,0.0,0.0,1
745638e774063de206aae930df71789de13e7c73,Armin Ronacher,11,1,77,25.0,0.0,0.0,0.0,2
b93ec1465be95a8303cbed99589273f562928103,Armin Ronacher,16,1,36,36.0,0.0,0.0,0.0,1
da8f88a22eab8195e48fa4ef63c6a3195c860eb0,Armin Ronacher,13,3,62,62.0,0.0,0.0,0.0,9
de909b3bdfcebe6bb56e0910ab9f36ad741b68f2,Armin Ronacher,11,4,41,41.0,0.0,0.0,0.0,9
34e3d64892f2281aa1b6f6357c345b0a357ee51a,Armin Ronacher,20,4,68,68.0,0.0,0.0,0.0,3
4156bd412f2c27359844fbacdae1eb4983c94b8b,Armin Ronacher,20,4,21,21.0,0.0,0.0,0.0,2
2d87e9bc37ef1ce8f9068fac92783a4fe3d3d382,Armin Ronacher,11,0,27,27.0,0.25,0.0,0.0,4
5bb2b55a2880b3c91dbcd6580f3d25ee23c6655c,Armin Ronacher,11,0,45,45.0,0.0,0.0,0.0,1
f80e1d3b5ab8e718cc67c814cbfd9aee9c95f45f,Armin Ronacher,1,2,33,33.0,0.2,0.0,0.0,1
9fa4f94ad885ea98bad8708da6e3e9d15130bb4d,Armin Ronacher,1,2,98,15.5,0.076923,0.0,0.0,9
b0ab127015186e1a2918221ffad8d79ca346faf5,Armin Ronacher,1,2,26,26.0,0.0,0.0,0.0,6
e0fa5aec3a13d9c3e8e27b53526fcee56ac0298d,Armin Ronacher,1,2,23,23.0,0.0,0.0,0.0,1
07581b2404924fe1833f596cfa09caf69868ad5b,Armin Ronacher,1,2,15,15.0,0.0,0.0,0.0,2
f4269b1fe7fe4c17a99bc7ca0dddafd17bed14e9,Armin Ronacher,2,2,28,28.0,0.0,0.0,0.0,1
e409bc792d4419ed588afbc60c53b61923c415a7,Armin Ronacher,2,2,10,10.0,0.0,0.0,0.0,1
93a8ca02822d07cd9f13495f53d27ab22e9adf3a,Ron DuPlain,9,2,39,39.0,0.0,0.0,0.0,5
35ed617fe41b184288892f733ce07d94391b76b1,Armin Ronacher,0,0,55,17.667,0.0,0.0,0.0,3
931dcc4c80331d372d70d7a0a5c8e6d49223e2bf,Armin Ronacher,1,0,42,42.0,0.0,0.0,0.0,5
b18560fcaa1739c81ff273951ebc6fa3c96fda2b,Armin Ronacher,1,0,8,8.0,0.0,0.0,0.0,1
c6e6792cd52022add8455fc792b2ca73c62d3d65,Armin Ronacher,2,0,34,34.0,0.0,0.0,0.0,1
8c26bec55c13804a01c11931263c9e9e4dab4afb,Armin Ronacher,12,0,44,44.0,0.0,0.0,0.0,1
e7f67e13339073007a84271cce91200bfdb81006,Armin Ronacher,16,0,22,22.0,0.0,0.0,0.0,3
ea5e654e9e19aab5089f9a71e679bcca11581e86,Armin Ronacher,22,0,43,43.0,0.0,0.0,0.0,9
267f5f5c82a1ec9966bfb4e1e0c3f7cc4c80ed12,Armin Ronacher,23,0,39,39.0,0.0,0.0,0.0,3
54c3df60cd533ea80d347f6715ee84f6a560b5d5,Armin Ronacher,23,0,24,24.0,0.0,0.0,0.0,1
7bb0e33a687b3498c401a8dbcf7864d543a1817a,Armin Ronacher,1,1,31,31.0,0.0,0.0,0.0,1
b26aeba972686b9cb9a9b111e1bc8997e1f259c8,Armin Ronacher,1,1,16,16.0,0.0,0.0,0.0,1
e84140aba2786655bbddcedb363d16de1e285441,Armin Ronacher,1,1,33,33.0,0.0,0.0,0.0,1
c4cac0abc1a04710a25dcfc8d7f1b2de173546a8,Armin Ronacher,2,1,31,31.0,0.0,0.0,0.0,3
e52f073e3e76a88e24a8a63eb5491dfc6e537a40,Armin Ronacher,18,1,51,51.0,0.0,0.0,0.0,1
854e0e26d16408760072308c44b9160a9fb39abd,Armin Ronacher,18,1,48,48.0,0.0,0.0,0.0,3
a5421c29acb6bfbd095dbeb4c8180a61bd1d4dab,Kenneth Reitz,10,2,32,32.0,0.0,0.0,0.0,1
cbcd15c3b55cfb05f1b27aa2343f909876f8d3d4,Armin Ronacher,8,0,55,55.0,0.0,0.0,0.0,7
aa654128cf72e5a16a480eb59fc1ad551d39f5d9,Armin Ronacher,9,0,16,16.0,0.0,0.0,0.0,1
664c64e0aafeb828911e97d31077c913ae2dd79a,Armin Ronacher,9,0,51,51.0,0.0,0.0,0.0,1
cc8332e9d99c08b77614e5acd7bd0e6d08dc29b6,Armin Ronacher,15,0,43,43.0,0.0,0.0,0.0,5
9d98ad5e079b88fd9da87e47d55a11e465ab6bb0,Armin Ronacher,15,0,40,40.0,0.0,0.0,0.0,1
ef0dc1800f7558abbefe070f361b97b9161b2452,Armin Ronacher,18,0,48,48.0,0.0,0.0,0.0,8
6c095deda51efb34cd18bd23411ebd6f2a0cdfe0,Armin Ronacher,8,1,32,32.0,0.0,0.0,0.0,1
9d19b77acf413de77b39ed1c6d972fb1e5fef1c3,Armin Ronacher,14,2,82,26.667,0.0,0.0,0.0,15
58285b61fffa1113701686c6bcdbf54ef529e440,Armin Ronacher,14,2,51,51.0,0.0,0.0,0.0,2
1264c458ae808d306aa03c51f70103e52dca107b,Armin Ronacher,15,2,55,55.0,0.0,0.0,0.0,1
74d458b40c0bdb140e7feab9af407642eb3dcea1,Armin Ronacher,15,2,29,29.0,0.0,0.0,0.0,1
8d356d7cda963e2fa6437c5a5fef035e13cc80c5,Armin Ronacher,12,3,42,42.0,0.0,0.0,0.0,4
e432d833b5f7b4c27e2dca5d5125bbf78a46327d,Armin Ronacher,13,3,19,19.0,0.0,0.0,0.0,1
68278fd78e15e3ef6a591f3f2b6cc700d1e4d6dd,Armin Ronacher,1,1,33,33.0,0.0,0.0,0.0,1
4d16486132c349cdc7d473ef3c238dfa3f9d5385,Armin Ronacher,2,1,31,31.0,0.0,0.0,0.0,3
35fd6eb22c4dec893770dd5720a51608a06fb8cd,Armin Ronacher,13,3,48,48.0,0.0,0.0,0.0,2
672eaf7abf1452750688eeb4e294aca22cd3272a,Armin Ronacher,13,3,123,23.8,0.055556,0.0,0.0,1
